# Cross-section of pi+ proton scattering based on resonance formation
#   sqrt(s) [GeV]             sigma [mbarn]    	  	    p_lab [GeV]
   1.0778500000000002        3.0599268679669465E-004   1.7907469234699916E-003
   1.0878500000000002       0.14074998779500431        5.7949956787355608E-002
   1.0978500000000002       0.65385667284854065        8.3751169053197350E-002
   1.1078500000000002        1.7304227441629987       0.10477994815566129     
   1.1178500000000002        3.6548649784270859       0.12352915276199301     
   1.1278500000000002        6.8563480907498109       0.14093858609154039     
   1.1378500000000003        11.985697988560453       0.15747758787921498     
   1.1478500000000003        20.021901545239515       0.17341767322759649     
   1.1578500000000003        32.386250629821618       0.18893112558723196     
   1.1678500000000003        50.950063450932497       0.20413449090929994     
   1.1778500000000003        77.581061636961536       0.21911041792290276     
   1.1878500000000003        112.52445924759027       0.23391968349462916     
   1.1978500000000003        151.37333775328881       0.24860828889041164     
   1.2078500000000001        183.67624632299828       0.26321188044609850     
   1.2178500000000003        198.85126360943826       0.27775862618288083     
   1.2278500000000001        195.21863621784578       0.29227115608059595     
   1.2378500000000001        179.52881534952280       0.30676791076362175     
   1.2478500000000001        159.52614239665917       0.32126410328525651     
   1.2578500000000001        139.90713113750411       0.33577242030201276     
   1.2678500000000001        122.56549343316229       0.35030354317205187     
   1.2778500000000002        107.88946616045183       0.36486654182296946     
   1.2878500000000002        95.663522788941123       0.37946917694447951     
   1.2978500000000002        85.502514455667878       0.39411813496378811     
   1.3078500000000002        77.022746076147143       0.40881921296215679     
   1.3178500000000002        69.895828191298335       0.42357746578456706     
   1.3278500000000002        63.856920961365645       0.43839732423111827     
   1.3378500000000002        58.697765116250707       0.45328269087235190     
   1.3478500000000002        54.256255838641934       0.46823701836726589     
   1.3578500000000002        50.406614437025127       0.48326337396619956     
   1.3678500000000002        47.051221379175459       0.49836449300843727     
   1.3778500000000002        44.114181912687243       0.51354282358057812     
   1.3878500000000003        41.536353817977066       0.52880056402115116     
   1.3978500000000003        39.271633945108917       0.54413969459447753     
   1.4078500000000003        37.284290779671025       0.55956200438067560     
   1.4178500000000003        35.546989205573070       0.57506911421650175     
   1.4278500000000003        34.039250696377195       0.59066249635723111     
   1.4378500000000001        32.746097137073995       0.60634349140126986     
   1.4478500000000003        31.656658365317256       0.62211332291805765     
   1.4578500000000001        30.762523563465930       0.63797311013963032     
   1.4678500000000003        30.055630040683596       0.65392387901229543     
   1.4778500000000001        29.525586077358014       0.66996657185349251     
   1.4878500000000003        29.156620401772074       0.68610205581750983     
   1.4978500000000001        28.924912461789631       0.70233113034003147     
   1.5078500000000001        28.797768132218117       0.71865453370406629     
   1.5178500000000001        28.736451946217592       0.73507294884725205     
   1.5278500000000002        28.703633407515724       0.75158700851199045     
   1.5378500000000002        28.673957333297903       0.76819729982448948     
   1.5478500000000002        28.643283624698192       0.78490436837602484     
   1.5578500000000002        28.630806604267988       0.80170872186906306     
   1.5678500000000002        28.669442563853302       0.81861083338196650     
   1.5778500000000002        28.782465298617801       0.83561114429847383     
   1.5878500000000002        28.949839409975603       0.85271006694181728     
   1.5978500000000002        29.083181237924002       0.86990798694796156     
   1.6078500000000002        29.146247375543808       0.88720526540788469     
   1.6178500000000002        28.957106793424376       0.90460224080493290     
   1.6278500000000002        28.492916342718679       0.92209923076995293     
   1.6378500000000003        27.801505822899664       0.93969653367405348     
   1.6478500000000003        26.986211603013320       0.95739443007639569     
   1.6578500000000003        26.094258677983028       0.97519318404229571     
   1.6678500000000001        25.142887094142562       0.99309304434509915     
   1.6778500000000003        24.154390232969163        1.0110942455636991     
   1.6878500000000001        23.166562888625069        1.0291970090861893     
   1.6978500000000003        22.227624452776958        1.0474015440289675     
   1.7078500000000001        21.549136236531719        1.0657080480795189     
   1.7178500000000003        21.032344573016228        1.0841167082702490     
   1.7278500000000001        20.656422089741490        1.1026277016898738     
   1.7378500000000003        20.447820712615513        1.1212411961382300     
   1.7478500000000001        20.433585837109007        1.1399573507297023     
   1.7578500000000004        20.641416088976396        1.1587763164499496     
   1.7678500000000001        21.098774037628040        1.1776982366701108     
   1.7778500000000004        21.830144742969821        1.1967232476222647     
   1.7878500000000002        22.852132968365993        1.2158514788395094     
   1.7978500000000002        24.167392486048620        1.2350830535637345     
   1.8078500000000002        25.759854666086653        1.2544180891238119     
   1.8178500000000002        27.593683493626962        1.2738566972867109     
   1.8278500000000002        29.615269358794841        1.2933989845837706     
   1.8378500000000002        31.753628006939110        1.3130450526141764     
   1.8478500000000002        33.915775449774152        1.3327949983274787     
   1.8578500000000002        35.981461723636826        1.3526489142868370     
   1.8678500000000002        37.807932022925222        1.3726068889145093     
   1.8778500000000002        39.251415341325881        1.3926690067209784     
   1.8878500000000003        40.199609075887579        1.4128353485189753     
   1.8978500000000003        40.599496049507309        1.4331059916235558     
   1.9078500000000003        40.466507683218026        1.4534810100392845     
   1.9178500000000001        39.878891119775879        1.4739604746354873     
   1.9278500000000003        38.941935053481885        1.4945444533104546     
   1.9378500000000001        37.755305636847645        1.5152330111453987     
   1.9478500000000003        36.415807446519374        1.5360262105489209     
   1.9578500000000001        35.004327553219497        1.5569241113926409     
   1.9678500000000003        33.580966581396602        1.5779267711386447     
   1.9778500000000001        32.186914163796601        1.5990342449592951     
   1.9878500000000003        30.848118873384443        1.6202465858499608     
   1.9978500000000001        29.579206731417877        1.6415638447351248     
   2.0078500000000004        28.386896063544619        1.6629860705683477     
   2.0178500000000001        27.272669782544064        1.6845133104264727     
   2.0278500000000004        26.234729178894234        1.7061456095984813     
   2.0378500000000002        25.269355349076157        1.7278830116693309     
