# Cross-section of pi- proton scattering based on resonance formation
#   sqrt(s) [GeV]             sigma [mbarn]    	  	    p_lab [GeV]
   1.0778500000000002        8.8225952077654810E-003   1.7907469234699916E-003
   1.0878500000000002       0.13986185779767613        5.7949956787355608E-002
   1.0978500000000002       0.40184206764824237        8.3751169053197350E-002
   1.1078500000000002       0.86200356454466021       0.10477994815566129     
   1.1178500000000002        1.6160192127806803       0.12352915276199301     
   1.1278500000000002        2.8072599572527950       0.14093858609154039     
   1.1378500000000003        4.6519204117299502       0.15747758787921498     
   1.1478500000000003        7.4734196048181110       0.17341767322759649     
   1.1578500000000003        11.738593509738076       0.18893112558723196     
   1.1678500000000003        18.058079315976794       0.20413449090929994     
   1.1778500000000003        27.035865881351491       0.21911041792290276     
   1.1878500000000003        38.743301790293486       0.23391968349462916     
   1.1978500000000003        51.744803059186765       0.24860828889041164     
   1.2078500000000001        62.653314927452044       0.26321188044609850     
   1.2178500000000003        68.034900221104039       0.27775862618288083     
   1.2278500000000001        67.327044665071369       0.29227115608059595     
   1.2378500000000001        62.693835658291206       0.30676791076362175     
   1.2478500000000001        56.671836713866213       0.32126410328525651     
   1.2578500000000001        50.824718932027544       0.33577242030201276     
   1.2678500000000001        45.803078483218833       0.35030354317205187     
   1.2778500000000002        41.756214179828902       0.36486654182296946     
   1.2878500000000002        38.628436047291309       0.37946917694447951     
   1.2978500000000002        36.302809839669635       0.39411813496378811     
   1.3078500000000002        34.656915372123734       0.40881921296215679     
   1.3178500000000002        33.578233490988289       0.42357746578456706     
   1.3278500000000002        32.962908773839018       0.43839732423111827     
   1.3378500000000002        32.708414751738538       0.45328269087235190     
   1.3478500000000002        32.705375913493008       0.46823701836726589     
   1.3578500000000002        32.832991857920405       0.48326337396619956     
   1.3678500000000002        32.963588493066396       0.49836449300843727     
   1.3778500000000002        32.980945753180229       0.51354282358057812     
   1.3878500000000003        32.809623436251705       0.52880056402115116     
   1.3978500000000003        32.441472365441129       0.54413969459447753     
   1.4078500000000003        31.941787601167899       0.55956200438067560     
   1.4178500000000003        31.432834176399300       0.57506911421650175     
   1.4278500000000003        31.068186174670295       0.59066249635723111     
   1.4378500000000001        31.013282561501690       0.60634349140126986     
   1.4478500000000003        31.393374727110782       0.62211332291805765     
   1.4578500000000001        32.399243867432681       0.63797311013963032     
   1.4678500000000003        34.181862920972691       0.65392387901229543     
   1.4778500000000001        36.788884686260303       0.66996657185349251     
   1.4878500000000003        40.071667140696469       0.68610205581750983     
   1.4978500000000001        43.409681722817339       0.70233113034003147     
   1.5078500000000001        45.221369812704459       0.71865453370406629     
   1.5178500000000001        45.058397821821536       0.73507294884725205     
   1.5278500000000002        43.671534004616475       0.75158700851199045     
   1.5378500000000002        41.721018933548997       0.76819729982448948     
   1.5478500000000002        39.867104649311464       0.78490436837602484     
   1.5578500000000002        38.325703989387875       0.80170872186906306     
   1.5678500000000002        37.371044380807291       0.81861083338196650     
   1.5778500000000002        37.161719131138831       0.83561114429847383     
   1.5878500000000002        37.783431628803108       0.85271006694181728     
   1.5978500000000002        39.267724762756679       0.86990798694796156     
   1.6078500000000002        41.628796188807442       0.88720526540788469     
   1.6178500000000002        44.733015855703179       0.90460224080493290     
   1.6278500000000002        48.365360069095871       0.92209923076995293     
   1.6378500000000003        52.277248377314713       0.93969653367405348     
   1.6478500000000003        56.047654055299382       0.95739443007639569     
   1.6578500000000003        59.080063005013685       0.97519318404229571     
   1.6678500000000001        60.721197981722227       0.99309304434509915     
   1.6778500000000003        60.489456389993912        1.0110942455636991     
   1.6878500000000001        58.396609864636552        1.0291970090861893     
   1.6978500000000003        54.822946331029847        1.0474015440289675     
   1.7078500000000001        50.430223160923681        1.0657080480795189     
   1.7178500000000003        45.661278702936350        1.0841167082702490     
   1.7278500000000001        41.187773342379799        1.1026277016898738     
   1.7378500000000003        37.763977166027352        1.1212411961382300     
   1.7478500000000001        34.927925940239170        1.1399573507297023     
   1.7578500000000004        32.588125117343139        1.1587763164499496     
   1.7678500000000001        30.685164368643818        1.1776982366701108     
   1.7778500000000004        29.166288223215521        1.1967232476222647     
   1.7878500000000002        27.985055624054578        1.2158514788395094     
   1.7978500000000002        27.099555403902080        1.2350830535637345     
   1.8078500000000002        26.469813711871236        1.2544180891238119     
   1.8178500000000002        26.056061730752567        1.2738566972867109     
   1.8278500000000002        25.818093333915915        1.2933989845837706     
   1.8378500000000002        25.714298050775692        1.3130450526141764     
   1.8478500000000002        25.699198365035034        1.3327949983274787     
   1.8578500000000002        25.720918773018305        1.3526489142868370     
   1.8678500000000002        25.722159098967555        1.3726068889145093     
   1.8778500000000002        25.646924775241324        1.3926690067209784     
   1.8878500000000003        25.451072646335412        1.4128353485189753     
   1.8978500000000003        25.111378256824885        1.4331059916235558     
   1.9078500000000003        24.628399488758728        1.4534810100392845     
   1.9178500000000001        24.024379330524486        1.4739604746354873     
   1.9278500000000003        23.331226763756678        1.4945444533104546     
   1.9378500000000001        22.579407475496119        1.5152330111453987     
   1.9478500000000003        21.798785455555670        1.5360262105489209     
   1.9578500000000001        21.014213602943876        1.5569241113926409     
   1.9678500000000003        20.243864901253836        1.5779267711386447     
   1.9778500000000001        19.499824351284829        1.5990342449592951     
   1.9878500000000003        18.789285074563136        1.6202465858499608     
   1.9978500000000001        18.115830981442073        1.6415638447351248     
   2.0078500000000004        17.480554353700011        1.6629860705683477     
   2.0178500000000001        16.882928349190607        1.6845133104264727     
   2.0278500000000004        16.321442260701499        1.7061456095984813     
   2.0378500000000002        15.794041389453355        1.7278830116693309     
